id;created_at;traffic_amount
151;2014-08-22 20:04:38.223152;1434704
3792;2020-03-19 11:22:41.411688;653855
2513;2018-10-03 16:51:52.393059;381085
2704;2019-03-13 16:12:12.506301;360855
3340;2019-06-06 16:25:01.741799;180385
3421;2019-08-14 20:33:30.664069;108881
1;2013-08-14 05:09:00.142059;105208
555;2015-08-25 17:07:46.171173;92118
2132;2018-07-19 13:18:06.886362;87665
1208;2017-06-05 09:09:19.390902;53630
1032;2016-11-23 10:11:33.083092;42860
3533;2019-10-25 21:21:26.126995;25553
1781;2018-06-19 14:52:57.569961;23418
4493;2022-05-13 17:55:44.362449;17650
343;2015-02-03 21:09:03.628244;13790
2431;2018-08-24 16:21:32.473724;13752
1712;2018-05-17 15:40:15.056491;13120
1186;2017-05-15 05:22:45.732168;8820
566;2015-09-02 15:34:14.570516;7959
2781;2019-04-17 23:05:55.125028;7950
3651;2020-01-19 16:03:52.790548;7394
1780;2018-06-18 04:02:38.686486;7057
4333;2021-12-05 11:56:44.623549;6931
4260;2021-09-14 22:24:38.537827;6342
2674;2019-02-18 18:44:20.013232;6318
1142;2017-03-16 15:56:56.552966;5750
1072;2016-12-28 15:55:49.132699;5465
2355;2018-08-08 18:34:47.400834;5408
4215;2021-07-28 16:24:05.440601;4526
4504;2022-05-20 11:41:29.209964;4242
3358;2019-06-23 12:45:34.881352;3933
4874;2023-03-23 11:04:35.937904;3841
4185;2021-07-04 11:14:40.567837;3315
1733;2018-05-29 11:37:20.932591;3045
1256;2017-06-20 20:21:18.867234;2954
138;2014-08-08 13:59:17.773971;2531
397;2015-03-24 18:57:33.643494;2155
2790;2019-04-23 18:35:06.157800;2144
543;2015-08-09 10:57:16.537586;2129
473;2015-05-22 17:07:27.849618;2011
934;2016-08-28 10:42:42.486540;1955
3887;2020-07-24 13:10:46.576846;1850
2650;2019-02-03 13:29:00.226744;1695
4433;2022-04-07 09:45:24.116260;1662
3965;2020-12-05 15:46:59.953119;1584
1492;2017-11-12 21:34:44.637140;1311
4541;2022-06-21 14:48:51.199831;1265
4669;2022-10-03 14:21:55.969154;1207
3825;2020-05-03 18:45:09.155175;1183
728;2016-02-19 06:17:56.534073;1045
4131;2021-06-24 05:35:53.008648;1044
4583;2022-07-21 12:47:25.865215;977
1014;2016-11-08 13:53:03.731523;921
2555;2018-11-03 15:44:43.439705;920
2718;2019-03-27 20:20:28.738743;870
4600;2022-08-09 17:05:29.559466;862
3652;2020-01-21 13:02:07.577968;840
964;2016-09-17 14:03:01.466202;816
4733;2022-11-28 14:12:08.302122;811
1269;2017-07-07 18:17:10.560304;734
3808;2020-04-17 15:37:29.145907;665
4116;2021-06-11 12:04:32.809123;645
305;2014-12-25 15:32:00.655285;634
413;2015-04-07 14:25:51.896106;604
4954;2023-04-25 17:18:48.827912;597
4513;2022-05-30 14:04:43.580224;578
306;2014-12-31 02:38:17.232209;569
1089;2017-01-22 16:36:00.128792;564
